"TEAMLEASE","1,190.30","1,190.30","1,155.00","1,206.50","1,171.00","-","-35.50","-2.94","22,387","2.63","2,165.00","1,065.20","-11.68","-43.48"
"ASTRAZEN","8,401.00","8,544.50","8,350.50","8,483.50","8,379.00","-","-104.50","-1.23","3,112","2.62","10,691.00","7,201.15","-5.89","6.04"
"ADVENZYMES","280.00","281.75","271.60","281.90","274.30","-","-7.60","-2.70","93,343","2.57","366.25","259.00","-9.96","-1.40"
"SHARDAMOTR","815.00","815.00","784.55","827.25","793.00","-","-34.25","-4.14","31,968","2.56","1,248.00","625.00","-15.91","6.54"
"ORCHPHARMA","527.00","534.60","513.00","538.40","518.00","-","-20.40","-3.79","48,097","2.52","899.00","489.00","-22.68","-38.24"
"DATAMATICS","698.50","703.00","678.45","710.70","681.00","-","-29.70","-4.18","36,266","2.50","1,120.00","522.00","-19.20","13.59"
"CENTURYPLY","679.90","679.90","653.85","682.60","660.00","-","-22.60","-3.31","36,926","2.45","859.00","642.25","-13.28","-7.41"
"SANOFICONR","4,215.20","4,265.90","4,192.90","4,279.40","4,215.10","-","-64.30","-1.50","5,729","2.42","5,894.50","3,975.00","4.16","-12.18"
"DHANUKA","1,000.10","1,000.10","967.60","1,004.50","975.90","-","-28.60","-2.85","24,433","2.40","1,975.00","948.90","-11.86","-23.55"
"RATNAMANI","2,388.50","2,399.00","2,340.00","2,401.50","2,341.80","-","-59.70","-2.49","9,792","2.32","3,050.00","1,936.50","-5.45","-10.55"
"GANESHHOU","617.90","617.90","594.60","623.80","600.90","-","-22.90","-3.67","36,694","2.21","1,169.00","566.00","-15.66","-43.06"
"VESUVIUS","488.45","488.45","475.00","489.50","476.00","-","-13.50","-2.76","44,657","2.14","646.00","397.01","-7.97","7.75"
